"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.61179555053896e-75,1.19406658361717,0.391,0.164,7.3662570253242e-71,"0","LY96"
7.12919440111763e-75,1.62055581938328,0.298,0.104,1.45399919810794e-70,"0","LPL"
1.35867228382841e-74,0.960551184402473,0.529,0.263,2.77101212286805e-70,"0","SAMHD1"
1.87522162905924e-74,1.55272305573667,0.275,0.088,3.82451451246631e-70,"0","PLXNC1"
3.69357824938257e-73,0.883649758118855,0.457,0.215,7.53305283961574e-69,"0","C15orf48"
1.97318365972615e-71,1.49271218010162,0.259,0.082,4.02430807401149e-67,"0","IQGAP2"
5.55138649696249e-71,1.11560091156861,0.343,0.135,1.1322052760555e-66,"0","MAF"
8.07539127771173e-71,0.926019087529041,0.569,0.303,1.64697605108931e-66,"0","EMP3"
1.42917197050937e-70,0.305953008455875,0.944,0.697,2.91479623385386e-66,"0","CST3"
1.49352638330795e-70,1.47127143756812,0.277,0.093,3.04604705875656e-66,"0","C3AR1"
3.45332376488419e-70,0.679092180315585,0.742,0.489,7.0430538184813e-66,"0","TYMP"
3.82784010468673e-70,0.632157178019255,0.874,0.684,7.80687989350859e-66,"0","ITM2B"
6.49557442829292e-70,0.885728621618165,0.481,0.226,1.32477240465034e-65,"0","CD53"
1.62976264140663e-69,1.36563809814869,0.288,0.101,3.32390090714882e-65,"0","SMIM25"
6.04350624344137e-69,0.983199396629825,0.371,0.153,1.23257309834987e-64,"0","AP1S2"
1.41051289995199e-68,0.789710441715612,0.549,0.291,2.87674105945208e-64,"0","ATP1B3"
7.78604698592512e-68,1.35036673519259,0.297,0.11,1.58796428277943e-63,"0","NAGK"
8.10563867137078e-68,1.14931513904034,0.433,0.212,1.65314500702607e-63,"0","RNF13"
2.70398037805051e-67,1.15137989254231,0.459,0.237,5.51476798103402e-63,"0","SCPEP1"
3.47426127233919e-67,1.38087930430114,0.307,0.117,7.08575586493578e-63,"0","BMP2K"
1.10379928958384e-66,1.19422067654654,0.346,0.142,2.25119865110623e-62,"0","VSIG4"
3.19594070330601e-66,1.51588266046551,0.265,0.092,6.51812106439261e-62,"0","ALDH1A1"
3.33360867254085e-66,0.268693925120793,0.999,0.993,6.79889488764707e-62,"0","MT-CO1"
6.99442703956166e-66,2.53936228270338,0.301,0.127,1.4265133947186e-61,"0","SELENOP"
1.76836845460685e-65,0.865408659039226,0.562,0.314,3.60658746317067e-61,"0","AP2S1"
2.23982133565503e-65,0.696483608242245,0.75,0.516,4.56811561406843e-61,"0","YBX1"
4.84233116764949e-65,0.770585988122283,0.529,0.269,9.87593441642114e-61,"0","MS4A6A"
1.39020343336925e-64,1.09966191420205,0.429,0.21,2.83531990235658e-60,"0","ATP6AP1"
2.91924579378855e-64,0.712405146199742,0.676,0.422,5.95380179643175e-60,"0","CEBPB"
3.81188538993987e-64,1.03469466658469,0.511,0.291,7.77434025278236e-60,"0","CXCL2"
3.88521675349235e-63,1.51156759755062,0.307,0.126,7.92389956874764e-59,"0","IDH1"
6.13967470122424e-63,1.01844543602,0.263,0.092,1.25218665531468e-58,"0","SPARC"
1.45761343598013e-62,0.908627681980825,0.457,0.222,2.97280260268147e-58,"0","PLXDC2"
4.6768891464464e-62,0.83214559146384,0.56,0.321,9.53851541417744e-58,"0","HIF1A"
